,MelSpectrogram,emotion
0,"[[-45.031998 -45.031998 -41.88594  ... -35.32371  -34.002518 -34.002518]
 [-45.95874  -45.95874  -44.720604 ... -41.73489  -41.83966  -41.83966 ]
 [-59.615234 -59.615234 -57.10598  ... -43.18715  -41.168564 -41.168564]
 ...
 [-80.       -80.       -80.       ... -80.       -80.       -80.      ]
 [-80.       -80.       -80.       ... -80.       -80.       -80.      ]
 [-80.       -80.       -80.       ... -80.       -80.       -80.      ]]",03
1,"[[-45.031998 -45.031998 -41.88594  ... -35.32371  -34.002518 -34.002518]
 [-45.95874  -45.95874  -44.720604 ... -41.73489  -41.83966  -41.83966 ]
 [-59.615234 -59.615234 -57.10598  ... -43.18715  -41.168564 -41.168564]
 ...
 [-80.       -80.       -80.       ... -80.       -80.       -80.      ]
 [-80.       -80.       -80.       ... -80.       -80.       -80.      ]
 [-80.       -80.       -80.       ... -80.       -80.       -80.      ]]",03
2,"[[-45.031998 -45.031998 -41.88594  ... -35.32371  -34.002518 -34.002518]
 [-45.95874  -45.95874  -44.720604 ... -41.73489  -41.83966  -41.83966 ]
 [-59.615234 -59.615234 -57.10598  ... -43.18715  -41.168564 -41.168564]
 ...
 [-80.       -80.       -80.       ... -80.       -80.       -80.      ]
 [-80.       -80.       -80.       ... -80.       -80.       -80.      ]
 [-80.       -80.       -80.       ... -80.       -80.       -80.      ]]",03
3,"[[-41.977615 -40.36496  -36.197426 ... -32.083805 -31.805614 -31.697966]
 [-48.203537 -47.17792  -44.527454 ... -38.899017 -40.69162  -41.385277]
 [-51.023705 -50.7198   -49.934425 ... -41.844032 -42.520527 -42.782303]
 ...
 [-80.       -80.       -80.       ... -80.       -80.       -80.      ]
 [-80.       -80.       -80.       ... -80.       -80.       -80.      ]
 [-80.       -80.       -80.       ... -80.       -80.       -80.      ]]",03
4,"[[-42.21131636 -42.21131636 -39.54091995 ... -38.19638341 -38.05895113
  -38.05895113]
 [-44.80671361 -44.80671361 -43.53025658 ... -42.10353385 -41.95519201
  -41.95519201]
 [-59.27671926 -59.27671926 -55.49110914 ... -43.72907382 -43.01372379
  -43.01372379]
 ...
 [-80.         -80.         -80.         ... -80.         -80.
  -80.        ]
 [-80.         -80.         -80.         ... -80.         -80.
  -80.        ]
 [-80.         -80.         -80.         ... -80.         -80.
  -80.        ]]",03
5,"[[-38.811577 -38.811577 -37.250214 ... -32.125427 -32.223534 -32.223534]
 [-41.24118  -41.24118  -40.56504  ... -34.759266 -34.765877 -34.765877]
 [-48.827614 -48.827614 -48.066635 ... -38.161293 -37.605515 -37.605515]
 ...
 [-80.       -80.       -80.       ... -80.       -80.       -80.      ]
 [-80.       -80.       -80.       ... -80.       -80.       -80.      ]
 [-80.       -80.       -80.       ... -80.       -80.       -80.      ]]",03
6,"[[-38.811577 -38.811577 -37.250214 ... -32.125427 -32.223534 -32.223534]
 [-41.24118  -41.24118  -40.56504  ... -34.759266 -34.765877 -34.765877]
 [-48.827614 -48.827614 -48.066635 ... -38.161293 -37.605515 -37.605515]
 ...
 [-80.       -80.       -80.       ... -80.       -80.       -80.      ]
 [-80.       -80.       -80.       ... -80.       -80.       -80.      ]
 [-80.       -80.       -80.       ... -80.       -80.       -80.      ]]",03
7,"[[-38.811577 -38.811577 -37.250214 ... -32.125427 -32.223534 -32.223534]
 [-41.24118  -41.24118  -40.56504  ... -34.759266 -34.765877 -34.765877]
 [-48.827614 -48.827614 -48.066635 ... -38.161293 -37.605515 -37.605515]
 ...
 [-80.       -80.       -80.       ... -80.       -80.       -80.      ]
 [-80.       -80.       -80.       ... -80.       -80.       -80.      ]
 [-80.       -80.       -80.       ... -80.       -80.       -80.      ]]",03
8,"[[-35.4569   -35.4569   -35.4569   ... -31.085783 -31.085783 -31.085783]
 [-41.743126 -41.743126 -41.743126 ... -32.895477 -32.895477 -32.895477]
 [-45.03888  -45.03888  -45.03888  ... -41.889885 -41.889885 -41.889885]
 ...
 [-80.       -80.       -80.       ... -80.       -80.       -80.      ]
 [-80.       -80.       -80.       ... -80.       -80.       -80.      ]
 [-80.       -80.       -80.       ... -80.       -80.       -80.      ]]",03
9,"[[-38.73501995 -38.73501995 -37.57958307 ... -39.86959139 -40.50033865
  -40.50033865]
 [-43.81848383 -43.81848383 -43.55788195 ... -40.4293948  -41.04523838
  -41.04523838]
 [-63.58940145 -63.58940145 -62.69452605 ... -41.84749515 -42.27538813
  -42.27538813]
 ...
 [-80.         -80.         -80.         ... -79.80838233 -80.
  -80.        ]
 [-80.         -80.         -80.         ... -80.         -80.
  -80.        ]
 [-80.         -80.         -80.         ... -80.         -80.
  -80.        ]]",03
